
 google-vison, grounding-dino
233672,233066
233701,233088
233800,233219
233919,233293
233948,233385
233936,233290
234065,233479
234039,233398
234215,233601
234545,233972
234919,234367
235655,235123
236256,235727
237200,236752
238028,237606
238988,238478
239848,239302
240608,240040
241333,240757
241900,241373
242605,241896
243088,242482
243530,242931
243964,243432
244226,243750
244461,244192
244595,244475
244712,244601
244782,244770
244747,244836
244757,244729
245383,245329
245742,245705
246198,246153
246593,246579
246958,247029
247315,247261
247662,247622
247917,247916
248418,248239
248613,248649
249024,248881
249363,249190
249698,249611
250036,249976
250443,250377
250651,250780
251135,251211
251504,251619
251923,251962
252200,252243
252438,252618
252477,252783
252685,252905
252622,252945
252603,253002
252518,252823
252391,252782
252259,252586
252196,252418
251958,252053
252133,252069
252251,252124
252284,252059
252416,252183
252298,252144
252271,251973
252143,251779
252146,251860
251933,251656
251768,251496
251538,251506
251093,251170
250654,250919
250225,250395
249517,249757
248745,249091
247985,248264
247016,247346
246086,246388
245149,245368
244278,244466
243709,243846
243130,243514
242784,243034
242387,242696
241743,242079
241267,241399
240528,240563
239811,239686
239070,238900
238951,238569
238923,238426
238597,237942
238253,237581
237913,237161
237535,236831
236990,236438
236428,235867
235920,235238
235405,234808
235002,234498
234671,234075
234210,233706
233711,233242
233397,232956
233254,232822
233229,232840
233334,232912
233567,233188
233624,233240
233926,233479
234082,233597
234097,233606
234170,233629
234042,233518
234108,233492
234117,233545
233939,233339
233780,233091
