
 google-vison, grounding-dino
158037,157489
158479,157950
158886,158324
159281,158771
159580,159053
159904,159328
160194,159681
160452,159927
160694,160187
160919,160437
161123,160670
161297,160925
161445,161101
161644,161298
161707,161343
161689,161458
161687,161421
161549,161348
161484,161309
161345,161325
161072,161074
160947,160892
160656,160559
160545,160395
160293,160202
160154,160084
159822,159780
159771,159676
159718,159657
159402,159325
159073,158955
159111,159034
159404,159331
159760,159645
159799,159673
159582,159560
159363,159378
159416,159454
159478,159551
159611,159668
159615,159611
159468,159445
159337,159290
159232,159162
159188,159154
159090,158967
158976,158792
158633,158533
158446,158333
158089,158014
157724,157645
157316,157208
156888,156759
156470,156343
156127,155973
155723,155608
155298,155178
154808,154697
154267,154103
153741,153569
153218,153041
152695,152484
152170,151954
151615,151420
151099,150875
150579,150347
150038,149836
149410,149186
148856,148626
148322,148128
147870,147728
147442,147306
146875,146772
146351,146261
145875,145856
145582,145494
145352,145195
145053,144872
144773,144541
144655,144299
144554,144078
144437,143979
144227,143741
143959,143539
143788,143506
143703,143509
143582,143400
143423,143172
143322,142969
143056,142765
143184,142854
143686,143290
144122,143680
144534,144079
144978,144507
145373,144837
145681,145174
146074,145558
146379,145914
146821,146400
147325,146901
147907,147555
148482,148065
148910,148450
149460,149099
150152,149821
150622,150165
151064,150557
151650,151148
152181,151676
152989,152416
153747,153174
154385,153845
154955,154383
155470,154922
155877,155395
156442,155930
156911,156470
157398,156940
157784,157253
